seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.02    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.04    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.06    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.07    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.09    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.12    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.14    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.16    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.19    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.21    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.24    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.26    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.28    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.29    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.33    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.34    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.36    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.37    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.39    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.42    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.44    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.47    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.49    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.52    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.54    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.58    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.59    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.63    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.64    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.66    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.67    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.69    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.72    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.74    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.77    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.79    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.81    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.83    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.84    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.86    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.87    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.89    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.91    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.92    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.94    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.96    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.97    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	tutorial, name: Tutor1 starting	
1.04    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.06    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.07    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.09    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.12    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.14    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.16    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.19    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.21    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.24    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.26    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.27    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.29    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.32    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.34    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.36    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.37    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.39    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.42    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.44    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.47    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.49    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.52    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.54    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.57    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.59    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.62    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.64    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.66    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.67    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.69    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.72    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.74    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.77    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.79    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.81    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.82    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.84    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.86    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.87    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.89    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.91    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.92    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.94    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.96    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.97    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.99    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.01    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.02    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.04    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.06    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.07    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.09    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.12    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.14    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.16    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.19    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.21    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.24    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.26    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.27    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.29    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.32    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.34    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.36    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.37    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.39    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.42    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.44    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.47    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.49    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.52    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.54    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.57    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.59    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.62    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.64    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.66    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.67    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.69    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.72    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.74    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
