seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.03    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.05    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.07    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.08    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.10    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.13    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.15    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.18    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.22    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.25    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.26    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.28    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.30    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.33    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.35    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.36    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.38    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.40    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.43    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.45    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.48    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.50    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.53    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.55    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.58    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.60    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.63    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.65    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.67    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.68    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.70    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.73    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.75    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.78    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.80    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.81    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.83    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.85    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.86    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.88    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.90    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.91    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.93    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.95    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.96    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.98    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.00    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	tutorial, name: Tutor1 starting	
1.14    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.18    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.20    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.22    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.25    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.26    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.28    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.30    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.33    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.35    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.36    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.38    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.40    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.43    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.45    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.48    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.50    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.53    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.55    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.58    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.60    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.63    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.65    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.66    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.68    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.70    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.73    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.75    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.78    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.80    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.81    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.83    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.85    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.86    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.88    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.90    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.91    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.93    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.95    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.96    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
1.98    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.00    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.01    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.03    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.05    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.06    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.08    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.10    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.13    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.15    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.16    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.18    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.20    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.21    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.23    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.25    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.27    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.28    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.30    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.31    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.33    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.35    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.37    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.38    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.40    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.41    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.43    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.45    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.46    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.48    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.50    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.51    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.53    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.55    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.56    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.58    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.60    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.61    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.63    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.65    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.66    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.68    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.70    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.71    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.73    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.75    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.76    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.78    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.80    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.81    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.83    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.85    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.86    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.88    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.90    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.92    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.93    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.95    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.96    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
2.98    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.00    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.01    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.03    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.05    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.06    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.08    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.10    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.11    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.13    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.15    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.16    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.18    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.20    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
3.51    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.52    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.53    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.55    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.56    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.58    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.60    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.62    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.63    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.65    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.66    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.68    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.70    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.71    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.73    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.75    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.76    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.78    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.80    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.81    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.83    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.85    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.86    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.88    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.90    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
3.91    	0.00    	0.00    	0.00    	0.00    	1.83    	-0.00   	-       	
