seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.03    	-0.32   	0.00    	0.93    	0.00    	1.83    	-0.00   	-       	
0.05    	-0.28   	0.00    	0.98    	0.00    	1.83    	-0.00   	-       	
0.07    	-0.25   	0.00    	1.03    	0.00    	1.83    	-0.00   	-       	
0.08    	-0.23   	0.00    	1.07    	0.00    	1.83    	-0.00   	-       	
0.10    	-0.21   	0.00    	1.13    	0.00    	1.83    	-0.00   	-       	
0.12    	-0.20   	0.00    	1.16    	0.00    	1.83    	-0.00   	-       	
0.13    	-0.19   	0.00    	1.20    	0.00    	1.83    	-0.00   	-       	
0.15    	-0.17   	0.00    	1.23    	0.00    	1.83    	-0.00   	-       	
0.17    	-0.16   	0.00    	1.25    	0.00    	1.83    	-0.00   	-       	
0.18    	-0.15   	0.00    	1.28    	0.00    	1.83    	-0.00   	-       	
0.20    	-0.13   	0.00    	1.30    	0.00    	1.83    	-0.00   	-       	
0.22    	-0.12   	0.00    	1.32    	0.00    	1.83    	-0.00   	-       	
0.23    	-0.11   	0.00    	1.35    	0.00    	1.83    	-0.00   	-       	
0.25    	-0.11   	0.00    	1.36    	0.00    	1.83    	-0.00   	-       	
0.27    	-0.11   	0.00    	1.38    	0.00    	1.83    	-0.00   	-       	
0.28    	-0.11   	0.00    	1.39    	0.00    	1.83    	-0.00   	-       	
0.30    	-0.11   	0.00    	1.40    	0.00    	1.83    	-0.00   	-       	
0.32    	-0.12   	0.00    	1.41    	0.00    	1.83    	-0.00   	-       	
0.33    	-0.11   	0.00    	1.43    	0.00    	1.83    	-0.00   	-       	
0.35    	-0.10   	0.00    	1.45    	0.00    	1.83    	-0.00   	-       	
0.37    	-0.09   	0.00    	1.46    	0.00    	1.83    	-0.00   	-       	
0.38    	-0.07   	0.00    	1.48    	0.00    	1.83    	-0.00   	-       	
0.40    	-0.04   	0.00    	1.50    	0.00    	1.83    	-0.00   	-       	
0.42    	-0.00   	0.00    	1.53    	0.00    	1.83    	-0.00   	-       	
0.43    	0.03    	0.00    	1.56    	0.00    	1.83    	-0.00   	-       	
0.45    	0.07    	0.00    	1.59    	-0.00   	1.83    	-0.00   	-       	
0.47    	0.10    	0.00    	1.62    	-0.00   	1.83    	-0.00   	-       	
0.48    	0.13    	0.00    	1.65    	-0.00   	1.83    	-0.00   	-       	
0.50    	0.16    	0.00    	1.69    	-0.00   	1.83    	-0.00   	-       	
0.52    	0.17    	0.00    	1.71    	-0.00   	1.83    	-0.00   	-       	
0.53    	0.20    	0.00    	1.74    	-0.00   	1.83    	-0.00   	-       	
0.55    	0.22    	0.00    	1.77    	-0.00   	1.83    	-0.00   	-       	
