Subject ID,Stimulus File,Trial Number,Trial Name,Air Puff,Context,Prediction Rating,Affect Rating,Dwell Time,Approach,Fuel
../data/3456,../data/3456_06-24-2022-stim_file.csv,1,explore,0,"""green""",999,999,0,     -1.00,0
../data/3456,../data/3456_06-24-2022-stim_file.csv,2,prePRfrog1,0,"""green""", 1,999,0,     19.84,0
../data/3456,../data/3456_06-24-2022-stim_file.csv,3,prePRfrog2,0,"""green""",999,999,8.8,     15.34,0
../data/3456,../data/3456_06-24-2022-stim_file.csv,4,prePRfrog3,0,"""green""",999,999,0,      2.81,1
../data/3456,../data/3456_06-24-2022-stim_file.csv,5,prePRfrog4,0,"""green""",999,999,0,      6.84,0
