seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.04    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.05    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.07    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.08    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.10    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.12    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.13    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.15    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.17    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.18    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.21    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.22    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.24    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.25    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.27    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.29    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.30    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.32    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.33    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.35    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.37    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.39    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.40    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.42    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.43    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.45    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.47    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.49    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.50    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.52    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.53    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.55    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.57    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.58    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.60    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.62    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
0.64    	0.00    	0.00    	0.00    	0.00    	1.92    	9.00    	-       	
