seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	

0.03    	0.50    	0.00    	10.19   	0.00    	1.83    	-0.00   	-       	
0.05    	0.72    	0.00    	10.17   	-0.00   	1.83    	-0.00   	-       	
0.06    	0.90    	0.00    	10.16   	-0.00   	1.83    	-0.00   	-       	
0.08    	1.08    	0.00    	10.05   	0.00    	1.83    	-0.00   	-       	
0.10    	1.31    	0.00    	10.02   	-0.00   	1.83    	-0.00   	-       	
0.11    	1.59    	0.02    	10.13   	-0.00   	1.83    	-0.00   	-       	
0.13    	1.88    	0.04    	10.09   	-0.00   	1.83    	-0.00   	-       	
0.14    	2.21    	0.07    	10.02   	-0.00   	1.83    	-0.00   	-       	
0.16    	2.54    	0.08    	10.02   	-0.00   	1.83    	-0.00   	-       	
0.17    	2.83    	0.08    	10.04   	-0.00   	1.83    	-0.00   	-       	
0.19    	3.14    	0.08    	10.05   	-0.00   	1.83    	-0.00   	-       	
0.21    	3.46    	0.08    	10.06   	-0.00   	1.83    	-0.00   	-       	
0.23    	3.87    	0.08    	10.14   	-0.00   	1.83    	-0.00   	-       	
0.24    	4.23    	0.08    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.26    	4.62    	0.08    	9.94    	-0.00   	1.83    	-0.00   	-       	
0.28    	5.18    	0.00    	10.32   	-0.00   	1.83    	-0.00   	-       	
0.29    	5.49    	0.00    	10.29   	-0.00   	1.83    	-0.00   	-       	
0.31    	5.81    	0.00    	10.12   	-0.00   	1.83    	-0.00   	-       	
0.33    	5.92    	0.00    	10.05   	-0.00   	1.83    	-0.00   	-       	
0.34    	6.00    	0.00    	10.01   	-0.00   	1.83    	-0.00   	-       	
0.36    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.38    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.39    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.41    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.43    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.44    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.46    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.48    	6.03    	0.00    	9.99    	-0.00   	1.83    	-0.00   	-       	
0.49    	6.05    	0.00    	9.98    	-0.00   	1.83    	-0.00   	-       	
0.51    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.53    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.54    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.56    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.58    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.59    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.61    	6.13    	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
0.63    	6.14    	0.00    	10.06   	-0.00   	1.83    	-0.00   	-       	
0.64    	6.22    	0.00    	10.01   	-0.00   	1.83    	-0.00   	-       	
0.66    	6.36    	0.00    	9.92    	-0.00   	1.83    	-0.00   	-       	
0.68    	6.52    	0.00    	9.82    	-0.00   	1.83    	-0.00   	-       	
0.69    	6.72    	0.00    	9.69    	-0.00   	1.83    	-0.00   	-       	
0.71    	6.93    	0.00    	9.54    	-0.00   	1.83    	-0.00   	-       	
0.73    	7.24    	0.00    	9.30    	-0.00   	1.83    	-0.00   	-       	
0.74    	7.51    	0.00    	9.25    	-0.00   	1.83    	-0.00   	-       	
0.76    	7.79    	0.00    	9.18    	-0.00   	1.83    	-0.00   	-       	
0.78    	8.06    	0.00    	9.11    	-0.00   	1.83    	-0.00   	-       	
0.79    	8.35    	0.00    	9.03    	-0.00   	1.83    	-0.00   	-       	
0.81    	8.65    	0.00    	8.93    	-0.00   	1.83    	-0.00   	-       	
0.83    	9.07    	0.00    	8.90    	-0.00   	1.83    	-0.00   	-       	
0.84    	9.73    	0.00    	9.08    	-0.00   	1.83    	-0.00   	-       	
0.86    	10.19   	0.00    	9.04    	-0.00   	1.83    	-0.00   	-       	
0.88    	10.93   	0.00    	9.22    	-0.00   	1.83    	-0.00   	-       	
0.89    	11.92   	0.00    	9.52    	-0.00   	1.83    	-0.00   	-       	
0.91    	13.34   	0.00    	9.82    	-0.00   	1.83    	-0.00   	-       	
0.93    	14.38   	0.00    	10.11   	-0.00   	1.83    	-0.00   	-       	
0.94    	15.05   	0.00    	10.12   	-0.00   	1.83    	-0.00   	-       	
0.96    	15.96   	0.00    	10.37   	-0.00   	1.83    	-0.00   	-       	
0.97    	16.07   	0.00    	10.20   	-0.00   	1.83    	-0.00   	-       	
0.99    	16.15   	0.00    	10.07   	-0.00   	1.83    	-0.00   	-       	
1.01    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.03    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.04    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.06    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.08    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.09    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.11    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.13    	16.45   	0.00    	10.19   	-0.00   	1.83    	-0.00   	-       	
1.14    	16.18   	0.00    	10.02   	-0.00   	1.83    	-0.00   	-       	
1.16    	16.18   	0.00    	10.02   	-0.00   	1.83    	-0.00   	-       	
1.18    	16.18   	0.00    	10.02   	-0.00   	1.83    	-0.00   	-       	
